image,image_path,detected,barcode,method,message,timestamp
reverseWaybill-156387426414724544_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-156387426414724544_1.jpg,True,"XPRESSBEESDeliverinig HappiriesaDTORerarkeWIA-202R29ZPNGFhier CodeLasWh Hando-er Cale9360234095333191049SH RETAIL?vendorNareE-way BillB10 Knhia Park OPF Shaarda Sciocl Nezr Borda Farm,Puna LVendorakc PunagemSurat, Cujaral , Pir code 395010Near BordlaAddressFarrn,Puna Lake PunajamSRT'ATOClientFTFLDestinationHubNareDelivery PinccdeS0 6OGiDi Ordler )1568874264147245441_#ni",easyocr,Success,2025-12-07T21:36:16.157047
reverseWaybill-160390797970200578_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-160390797970200578_1.jpg,True,160390797970200578_1_gsm,pyzbar,Success,2025-12-07T21:36:16.696876
reverseWaybill-161462098390505344_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-161462098390505344_1.jpg,True,77L)(213175235M7301X71373H131A8[38312081;52=2I2213771:8,easyocr,Success,2025-12-07T21:36:45.437780
reverseWaybill-161820476409495744_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-161820476409495744_1.jpg,True,8,morphology,Success,2025-12-07T21:36:48.034172
reverseWaybill-161827124813349056_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-161827124813349056_1.jpg,True,877851Q81E11|878:61801[LE18918IZL00I33,easyocr,Success,2025-12-07T21:37:16.545843
reverseWaybill-161889931202248896_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-161889931202248896_1.jpg,True,"R3STGozularaIT%R1280953716FPLGlaclovdi1cTOYTRETAIL (Seller)B 10 Krishna Park CFP Shaarcla School NearBorda Farm, P,Surat, 395070GSTIN:Z24GDNPS7512BIZHDivya G (Customer)Delhi;Delhi,1100202FTPLRVP(161889931202248896_1_brzFlyer: KUXX (XKJKA0433Printed by NoneLocation-DE _ Okhla Prinled on:17/U5/25 { :1)6Iechoratian:0:nwrned 6k # #lln vich iutar ra}Ontom t @nua uI38{07dwiq",easyocr,Success,2025-12-07T21:37:44.286121
reverseWaybill-162107205368239936_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-162107205368239936_1.jpg,True,234095357601330,pyzbar,Success,2025-12-07T21:37:45.020198
reverseWaybill-162127075969633920_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-162127075969633920_1.jpg,True,"8ZFFSZ?EE?Nemanwi6Y0?HPYFNiihet CodeEax#iaiut= ##TIIIIt{Eedr2240052504252580770ijiivi1#mntaetamTavJiii08001745#iuaaGGtoco""506m27e#f233zrte%euuiva: furteFam. Fgme ia FgezGmiiouutSRTIRTAUiice {4c0mo""",easyocr,Success,2025-12-07T21:38:13.931570
reverseWaybill-162533794288078400_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-162533794288078400_1.jpg,True,234095361553180,pyzbar,Success,2025-12-07T21:38:14.607515
reverseWaybill-162563926371110528_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-162563926371110528_1.jpg,True,R1280955957FPL,pyzbar,Success,2025-12-07T21:38:15.221751
reverseWaybill-162590579457558528_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-162590579457558528_1.jpg,True,M00968463036,pyzbar,Success,2025-12-07T21:38:15.882718
reverseWaybill-162822952260583552_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-162822952260583552_1.jpg,True,M00968429135,pyzbar,Success,2025-12-07T21:38:16.385912
reverseWaybill-163138358833942080_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-163138358833942080_1.jpg,True,234095359684229,pyzbar,Success,2025-12-07T21:38:16.952963
reverseWaybill-163167305864402752_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-163167305864402752_1.jpg,True,R1282989610FPL,pyzbar,Success,2025-12-07T21:38:17.593195
reverseWaybill-163168391573114432_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-163168391573114432_1.jpg,True,R1282179982FPL,pyzbar,Success,2025-12-07T21:38:18.237269
reverseWaybill-163233702292313922_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-163233702292313922_1.jpg,True,57,morphology,Success,2025-12-07T21:38:21.705642
reverseWaybill-163253278646505088_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-163253278646505088_1.jpg,True,"A""x4",morphology,Success,2025-12-07T21:38:25.820513
reverseWaybill-163278430531063296_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-163278430531063296_1.jpg,True,0,morphology,Success,2025-12-07T21:38:29.280367
reverseWaybill-163513920653659776_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-163513920653659776_1.jpg,True,234095349658557,pyzbar,Success,2025-12-07T21:38:29.964635
reverseWaybill-163575804188803200_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-163575804188803200_1.jpg,True,M00969597458,pyzbar,Success,2025-12-07T21:38:30.562413
reverseWaybill-163629705512179520_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-163629705512179520_1.jpg,True,R1282048118FPL,pyzbar,Success,2025-12-07T21:38:31.183790
reverseWaybill-163869082838745216_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-163869082838745216_1.jpg,True,188Ja1i3lCJH?83210L2|8127O0212281221211810J,easyocr,Success,2025-12-07T21:38:56.295831
reverseWaybill-164010403918364801_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-164010403918364801_1.jpg,True,"XPRESSBEESDelveing HapuiriessDTORerarksWIA-202R294PNGFlicr CodeLam (HHandover Dae4376234095365373853VendorSHOPBEEENarneE-#ay BillE10 Knahna ParkOPP Shaarda Stiooi,Nca Dorda F armnPuraVendorLakePunagamJuaGjaat,Pincode 336010Near BxfAddressJa FarDestinationSRTATOClientFTPLHubNarneDelivery Pincode{9-J1uPOD Orjui #16401040891864801",easyocr,Success,2025-12-07T21:39:22.151480
reverseWaybill-164032400488224576_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-164032400488224576_1.jpg,True,M00969751549,pyzbar,Success,2025-12-07T21:39:22.772698
reverseWaybill-164219522434499264_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-164219522434499264_1.jpg,True,Hy=,morphology,Success,2025-12-07T21:39:24.321633
reverseWaybill-164659046174134464_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-164659046174134464_1.jpg,True,234095348290611,pyzbar,Success,2025-12-07T21:39:24.965801
reverseWaybill-164712656358576320_1.jpg,k:\Harry\b\ReverseWay Bill\reverseWaybill-164712656358576320_1.jpg,True,dorTo1eE 1Jorakeess3Farnation,morphology,Success,2025-12-07T21:39:28.548653
